,Product ID,Category,Price,Date of Purchase,Customer ID,Location,Payment Method
0,1acfc7fa-df8f-4672-ad26-72fe1f9de31d,Home,474.58,2024-10-22,e536e33f-59c0-4dab-bd02-cdbec6cc21eb,Kellifort,Credit Card
1,f1f503ca-a674-417a-9571-f781fab907b9,Toys,380.13,2022-04-01,5c290f25-1dee-4ad5-ae16-50a6d79cfbe2,Kimberlyberg,Bank Transfer
2,162e1427-8a7d-425e-b98c-a14d5e09c989,Toys,208.62,2023-05-23,2c7a3388-2fec-42d7-aeb2-731f39d45c87,Lefort,Bank Transfer
3,3a006b67-19e4-437d-ba81-3d55b1e6c1ca,Clothing,42.8,2025-01-30,2947d4c4-237a-4166-adb2-25d1f4fe8969,Port Josephville,Credit Card
4,2b1a5747-18b8-46cb-8337-31c6f99f8a04,Toys,6.37,2023-05-06,bbc98ce6-e23a-48a9-b763-9e5c12f41d8f,Jessicamouth,Credit Card
5,7e59b6f1-4fa9-44d4-8422-a4a198cb5be8,Clothing,117.7,2021-06-19,5efc6a08-40ac-429e-9825-aaba18be25a2,Wiseton,Bank Transfer
6,51e4dd2a-4b76-4813-a954-452c73dbb7d1,Books,11.0,2022-06-07,ce9a5389-2c69-44c7-a909-7a4209a248b5,Lake Beverlymouth,PayPal
7,f2a66f5f-65f8-4f1d-8d1d-76188bb5006b,Toys,252.56,2022-09-08,b801d467-1fa6-4abb-b88d-806cb67f9527,Owensbury,PayPal
8,a2482d62-31fa-48c6-9722-70dc07aaeb4f,Clothing,288.81,2022-01-24,fdb7c163-3006-48f0-9fc8-c6004738ebdc,New Michael,Cash
9,3ecc2b20-b2e2-4da9-8b9c-1182f61f969a,Home,366.74,2024-05-10,b2f5f8bb-dc32-4cf9-a512-24fae364adcc,Hamiltonland,Cash
10,88816bfa-8a6d-4483-a934-5d87de494cc3,Clothing,420.66,2021-02-26,8f8dc879-d719-401d-9bc3-b042e8a86e3f,East Christine,Credit Card
11,4361e226-78f6-4585-a1de-55563ac47d2d,Electronics,87.47,2021-06-29,7b87be50-aee2-4d01-a71f-7d7984526c05,Laurieside,PayPal
12,eb4bafc8-9a08-4bc7-bf1a-3aec6702081b,Home,368.95,2025-03-12,7f1f38cc-d2c9-4701-9e05-b1f6c79b6c4b,Gregoryfurt,Bank Transfer
13,807fef0a-93ff-4523-8f78-ae24dae6dfb8,Books,111.89,2022-07-23,1d1565fe-418a-4fe7-879f-d3131c38887b,Lake Donald,Cash
14,58bb9990-0216-44fe-8a85-997d144467f8,Toys,262.86,2025-01-26,06cf5b2b-646a-4d90-b350-3dce1c732990,Williamston,Credit Card
15,f788abfa-b810-457d-aa43-5db1118e72d5,Electronics,310.38,2020-01-30,0c91bec9-7ca8-401c-933c-800c81b9bdee,North Kimberly,PayPal
16,7dcb17ae-125c-4a1a-a095-bb854cc0e46b,Electronics,242.57,2025-02-23,56165c89-65c8-4595-a1a6-4c5c830b3b62,Jessicafort,Cash
17,97c37bc1-d047-4250-97c1-ac17c8ab362c,Electronics,264.17,2021-05-27,b1e7a90c-306c-482c-8ec7-8a72404ceaca,Randyside,Bank Transfer
